"TOA5","Potchefstroom","CR1000X","12345","CR1000X.Std.13.02","CPU:StratusDemo.CR1X","51201","WeatherData"
"TIMESTAMP","RECORD","AirTC_Avg","RH","DewPt_Avg","BP_mbar_Avg","WS_ms_Avg","WS_Max","WSpd_Min","WindDir","Wind_Dir_SD1_WVT","SlrW_Avg","SlrMJ_Tot","UV_Index_Avg","Rain_mm_Tot","SoilTC_Avg","VWC_Avg","Visibility_km","PM2_5_Avg","PM10_Avg","Lightning_Tot","LightningDist","LightningEnergy","BattV_Avg","PTemp_C_Avg","MPPT_SolV_Avg","MPPT_SolI_Avg","MPPT_SolP_Avg","MPPT_BatV_Avg","MPPT_LdV_Avg","MPPT_LdI_Avg","SolarCharger_BoardTemp_1_Avg"
"2026-08-13 02:20:00","259","10.28","98.0","9.98","863.85","1.09","1.71","0.51","85.0","15.7","0.0","0.0000","0.0","0.00","16.70","0.1898","21.9","14.1","33.8","182","NAN","NAN","12.497","10.54","0.00","0.00","0.0","12.497","12.40","0.16","11.51"
"2026-08-13 02:25:00","260","10.29","98.0","9.99","863.93","1.05","1.55","0.50","84.9","12.5","0.0","0.0000","0.0","0.00","16.64","0.1898","23.4","17.4","30.8","182","NAN","NAN","12.492","10.66","0.00","0.00","0.0","12.492","12.39","0.29","11.59"
"2026-08-13 02:30:00","261","9.96","98.0","9.66","863.95","1.70","2.50","1.13","84.7","11.7","0.0","0.0000","0.0","0.00","16.58","0.1898","23.5","16.0","29.2","182","NAN","NAN","12.479","10.61","0.00","0.00","0.0","12.479","12.39","0.19","11.53"
"2026-08-13 02:35:00","262","10.32","98.0","10.02","863.89","0.96","1.64","0.61","84.6","8.1","0.0","0.0000","0.0","0.00","16.53","0.1898","21.0","16.1","37.0","182","NAN","NAN","12.475","10.69","0.00","0.00","0.0","12.475","12.39","0.32","11.29"
"2026-08-13 02:40:00","263","9.86","98.0","9.56","864.07","1.17","2.02","0.63","84.4","9.4","0.0","0.0000","0.0","0.00","16.48","0.1898","21.1","14.6","31.1","182","NAN","NAN","12.484","10.62","0.00","0.00","0.0","12.484","12.41","0.25","11.13"
"2026-08-13 02:45:00","264","10.24","98.0","9.94","864.06","1.70","2.36","1.00","84.3","17.2","0.0","0.0000","0.0","0.00","16.42","0.1898","22.4","13.8","30.6","182","NAN","NAN","12.462","10.85","0.00","0.00","0.0","12.462","12.32","0.16","11.93"
"2026-08-13 02:50:00","265","10.01","98.0","9.71","864.00","1.19","1.73","0.79","84.1","16.3","0.0","0.0000","0.0","0.00","16.37","0.1898","22.1","16.3","34.3","182","NAN","NAN","12.475","10.38","0.00","0.00","0.0","12.475","12.42","0.16","10.88"
"2026-08-13 02:55:00","266","10.27","98.0","9.97","864.24","1.75","2.58","1.10","83.9","14.5","0.0","0.0000","0.0","0.00","16.32","0.1898","28.9","13.2","23.6","182","NAN","NAN","12.473","10.50","0.00","0.00","0.0","12.473","12.39","0.21","11.60"
"2026-08-13 03:00:00","267","9.73","98.0","9.43","864.35","1.27","1.81","0.78","83.8","15.5","0.0","0.0000","0.0","0.00","16.27","0.1898","22.6","15.5","28.5","182","NAN","NAN","12.474","10.30","0.00","0.00","0.0","12.474","12.39","0.16","10.63"
"2026-08-13 03:05:00","268","10.13","98.0","9.83","864.27","1.10","1.52","0.52","83.6","7.5","0.0","0.0000","0.0","0.00","16.22","0.1898","18.4","17.6","42.0","182","NAN","NAN","12.442","11.06","0.00","0.00","0.0","12.442","12.29","0.31","11.28"
"2026-08-13 03:10:00","269","10.15","98.0","9.85","864.36","1.48","2.02","0.69","83.4","10.9","0.0","0.0000","0.0","0.00","16.17","0.1898","24.6","15.3","31.2","182","NAN","NAN","12.437","10.64","0.00","0.00","0.0","12.437","12.36","0.12","11.04"
"2026-08-13 03:15:00","270","9.89","98.0","9.59","864.48","1.37","2.29","0.70","83.3","12.5","0.0","0.0000","0.0","0.00","16.13","0.1898","23.8","17.5","32.8","182","NAN","NAN","12.456","10.67","0.00","0.00","0.0","12.456","12.35","0.25","10.61"
"2026-08-13 03:20:00","271","10.11","98.0","9.81","864.46","1.03","1.50","0.75","83.1","7.6","0.0","0.0000","0.0","0.00","16.08","0.1898","21.0","17.4","32.9","182","NAN","NAN","12.423","11.12","0.00","0.00","0.0","12.423","12.32","0.33","11.22"
"2026-08-13 03:25:00","272","10.26","98.0","9.96","864.57","1.64","2.62","0.87","82.9","12.8","0.0","0.0000","0.0","0.00","16.04","0.1898","20.3","17.2","36.5","182","NAN","NAN","12.427","10.58","0.00","0.00","0.0","12.427","12.38","0.21","11.82"
"2026-08-13 03:30:00","273","10.18","98.0","9.88","864.41","1.36","2.30","0.97","82.8","7.2","0.0","0.0000","0.0","0.00","15.99","0.1898","20.8","13.4","32.0","182","NAN","NAN","12.436","10.85","0.00","0.00","0.0","12.436","12.30","0.22","11.04"
"2026-08-13 03:35:00","274","10.38","98.0","10.08","864.73","1.64","2.37","0.87","82.6","8.9","0.0","0.0000","0.0","0.00","15.95","0.1898","22.7","12.7","28.5","182","NAN","NAN","12.411","10.73","0.00","0.00","0.0","12.411","12.29","0.34","11.72"
"2026-08-13 03:40:00","275","10.24","98.0","9.94","864.78","0.96","1.53","0.59","82.4","11.1","0.0","0.0000","0.0","0.00","15.91","0.1898","19.2","18.9","37.4","182","NAN","NAN","12.413","10.46","0.00","0.00","0.0","12.413","12.32","0.21","11.29"
"2026-08-13 03:45:00","276","9.98","98.0","9.68","864.60","1.56","2.56","0.88","82.2","16.8","0.0","0.0000","0.0","0.00","15.87","0.1898","25.4","13.3","23.0","182","NAN","NAN","12.421","10.80","0.00","0.00","0.0","12.421","12.29","0.21","11.36"
"2026-08-13 03:50:00","277","9.99","98.0","9.69","864.65","0.92","1.24","0.43","82.1","15.3","0.0","0.0000","0.0","0.00","15.83","0.1898","26.2","15.7","28.4","182","NAN","NAN","12.406","10.85","0.00","0.00","0.0","12.406","12.33","0.32","11.29"
"2026-08-13 03:55:00","278","10.32","98.0","10.02","864.80","1.67","2.33","0.98","81.9","9.1","0.0","0.0000","0.0","0.00","15.80","0.1898","24.3","14.1","31.8","182","NAN","NAN","12.416","11.42","0.00","0.00","0.0","12.416","12.29","0.19","11.38"
"2026-08-13 04:00:00","279","10.19","98.0","9.89","864.76","1.21","1.91","0.87","81.7","13.0","0.0","0.0000","0.0","0.00","15.76","0.1898","22.8","15.0","29.1","182","NAN","NAN","12.405","10.95","0.00","0.00","0.0","12.405","12.33","0.17","11.06"
"2026-08-13 04:05:00","280","10.64","98.0","10.34","864.99","1.56","2.64","0.83","81.5","11.0","0.0","0.0000","0.0","0.00","15.73","0.1898","20.2","14.6","32.9","182","NAN","NAN","12.403","10.98","0.00","0.00","0.0","12.403","12.31","0.14","11.38"
"2026-08-13 04:10:00","281","10.32","98.0","10.02","865.00","1.48","2.21","0.95","81.3","13.5","0.0","0.0000","0.0","0.00","15.69","0.1898","26.1","16.1","27.9","182","NAN","NAN","12.396","10.75","0.00","0.00","0.0","12.396","12.26","0.16","11.75"
"2026-08-13 04:15:00","282","10.25","98.0","9.95","864.94","1.21","2.05","0.88","81.1","17.2","0.0","0.0000","0.0","0.00","15.66","0.1898","25.8","15.0","28.9","182","NAN","NAN","12.400","11.05","0.00","0.00","0.0","12.400","12.34","0.32","11.17"
"2026-08-13 04:20:00","283","10.46","98.0","10.16","865.11","1.06","1.74","0.58","80.9","16.1","0.0","0.0000","0.0","0.00","15.63","0.1898","24.4","14.2","28.9","182","NAN","NAN","12.363","11.12","0.00","0.00","0.0","12.363","12.28","0.20","12.16"
"2026-08-13 04:25:00","284","10.50","98.0","10.20","865.08","1.06","1.59","0.54","80.7","12.0","0.0","0.0000","0.0","0.00","15.60","0.1898","22.3","15.7","33.0","182","NAN","NAN","12.392","11.09","0.00","0.00","0.0","12.392","12.26","0.16","11.74"
"2026-08-13 04:30:00","285","10.53","98.0","10.23","865.33","1.74","2.56","1.04","80.5","6.8","0.0","0.0000","0.0","0.00","15.58","0.1898","17.9","16.0","38.2","182","NAN","NAN","12.384","11.61","0.00","0.00","0.0","12.384","12.31","0.18","11.50"
"2026-08-13 04:35:00","286","10.83","98.0","10.53","865.36","0.96","1.60","0.53","80.3","13.3","0.0","0.0000","0.0","0.00","15.55","0.1898","19.0","16.1","37.4","182","NAN","NAN","12.357","12.15","0.00","0.00","0.0","12.357","12.29","0.31","11.56"
"2026-08-13 04:40:00","287","10.75","98.0","10.45","865.43","1.54","2.46","0.88","80.2","12.1","0.0","0.0000","0.0","0.00","15.53","0.1898","20.5","14.3","33.3","182","NAN","NAN","12.364","11.26","0.00","0.00","0.0","12.364","12.29","0.25","12.24"
"2026-08-13 04:45:00","288","11.14","98.0","10.84","865.30","1.11","1.65","0.83","80.0","12.7","0.0","0.0000","0.0","0.00","15.50","0.1898","23.8","14.8","32.1","182","NAN","NAN","12.362","11.96","0.00","0.00","0.0","12.362","12.31","0.15","12.30"
"2026-08-13 04:50:00","289","10.01","98.0","9.71","865.53","1.35","2.20","0.64","79.7","11.6","0.0","0.0000","0.0","0.00","14.18","0.1898","23.8","14.8","32.4","182","NAN","NAN","12.346","10.44","0.00","0.00","0.0","12.346","12.27","0.17","11.18"
"2026-08-13 04:55:00","290","9.96","98.0","9.66","865.47","1.58","2.17","0.72","79.5","13.5","0.0","0.0000","0.0","0.00","14.16","0.1898","25.0","13.6","26.4","182","NAN","NAN","12.365","11.26","0.00","0.00","0.0","12.365","12.31","0.27","11.01"
"2026-08-13 05:00:00","291","9.82","98.0","9.52","865.52","1.67","2.35","1.23","79.3","13.2","0.0","0.0000","0.0","0.00","14.14","0.1898","23.0","16.9","29.9","182","NAN","NAN","12.338","10.08","0.00","0.00","0.0","12.338","12.26","0.14","10.83"
"2026-08-13 05:05:00","292","10.36","98.0","10.06","865.66","1.49","2.42","0.69","79.1","15.8","0.0","0.0000","0.0","0.00","14.12","0.1898","21.3","16.0","34.7","182","NAN","NAN","12.353","11.25","0.00","0.00","0.0","12.353","12.24","0.13","11.54"
"2026-08-13 05:10:00","293","9.98","98.0","9.68","865.57","1.31","1.98","0.60","78.9","7.1","0.0","0.0000","0.0","0.00","14.10","0.1898","22.4","14.2","28.6","182","NAN","NAN","12.348","10.77","0.00","0.00","0.0","12.348","12.29","0.31","10.95"
"2026-08-13 05:15:00","294","10.25","98.0","9.95","865.51","1.02","1.44","0.64","78.7","13.9","0.0","0.0000","0.0","0.00","14.09","0.1898","20.6","16.6","34.9","182","NAN","NAN","12.338","10.56","0.00","0.00","0.0","12.338","12.21","0.33","11.03"
"2026-08-13 05:20:00","295","10.35","98.0","10.05","865.73","0.96","1.49","0.67","78.5","10.4","0.0","0.0000","0.0","0.00","14.08","0.1898","20.6","15.0","34.4","182","NAN","NAN","12.359","10.82","0.00","0.00","0.0","12.359","12.31","0.21","11.40"
"2026-08-13 05:25:00","296","10.55","98.0","10.25","865.61","1.31","2.23","0.76","78.3","16.4","0.0","0.0000","0.0","0.00","14.07","0.1898","20.7","14.9","33.1","182","NAN","NAN","12.330","11.53","0.00","0.00","0.0","12.330","12.23","0.14","11.77"
"2026-08-13 05:30:00","297","10.91","98.0","10.61","865.69","0.94","1.48","0.54","78.1","7.8","0.0","0.0000","0.0","0.00","14.06","0.1898","17.4","18.4","42.8","182","NAN","NAN","12.340","11.46","0.00","0.00","0.0","12.340","12.28","0.31","12.50"
"2026-08-13 05:35:00","298","10.95","98.0","10.65","865.88","1.61","2.63","1.16","77.9","11.8","0.0","0.0000","0.0","0.00","14.05","0.1898","21.3","17.7","33.9","182","NAN","NAN","12.362","11.88","0.00","0.00","0.0","12.362","12.24","0.13","12.01"
"2026-08-13 05:40:00","299","10.65","98.0","10.35","865.71","1.67","2.41","0.98","77.6","14.3","0.0","0.0000","0.0","0.00","14.04","0.1898","25.6","14.2","29.5","182","NAN","NAN","12.330","11.81","0.00","0.00","0.0","12.330","12.24","0.30","11.96"
"2026-08-13 05:45:00","300","10.93","98.0","10.63","865.93","1.26","2.16","0.62","77.4","15.1","0.0","0.0000","0.0","0.00","14.04","0.1898","22.6","16.9","32.5","182","NAN","NAN","12.333","11.99","0.00","0.00","0.0","12.333","12.25","0.29","12.43"
"2026-08-13 05:50:00","301","11.47","98.0","11.17","865.96","1.36","1.96","0.63","77.2","11.8","0.0","0.0000","0.0","0.00","14.03","0.1898","21.0","16.6","32.5","182","NAN","NAN","12.350","12.03","0.00","0.00","0.0","12.350","12.24","0.25","12.18"
"2026-08-13 05:55:00","302","11.29","98.0","10.99","865.84","1.69","2.91","0.99","77.0","12.2","0.0","0.0000","0.0","0.00","14.03","0.1898","22.9","12.6","28.4","182","NAN","NAN","12.356","12.69","0.00","0.00","0.0","12.356","12.25","0.19","12.42"
"2026-08-13 06:00:00","303","11.67","98.0","11.37","865.92","1.10","1.72","0.66","76.8","17.9","0.0","0.0000","0.0","0.00","14.03","0.1898","20.8","15.0","35.9","182","NAN","NAN","12.354","12.89","0.00","0.00","0.0","12.354","12.25","0.12","12.59"
"2026-08-13 06:05:00","304","11.77","98.0","11.47","866.01","0.97","1.62","0.44","76.5","17.8","0.0","0.0000","0.0","0.00","14.03","0.1898","18.6","16.3","36.2","182","NAN","NAN","12.359","12.36","0.00","0.00","0.0","12.359","12.28","0.21","12.90"
"2026-08-13 06:10:00","305","11.60","98.0","11.30","866.10","1.25","1.71","0.93","76.3","9.9","0.0","0.0000","0.0","0.00","14.03","0.1898","20.2","18.1","35.9","182","NAN","NAN","12.337","12.66","0.00","0.00","0.0","12.337","12.23","0.17","12.68"
"2026-08-13 06:15:00","306","12.00","98.0","11.70","866.04","1.66","2.30","1.03","76.1","6.8","0.0","0.0000","0.0","0.00","14.04","0.1898","23.6","15.5","32.8","182","NAN","NAN","12.358","13.09","0.00","0.00","0.0","12.358","12.27","0.17","13.10"
"2026-08-13 06:20:00","307","12.27","98.0","11.97","865.96","1.46","2.17","0.68","75.8","6.3","0.0","0.0000","0.0","0.00","14.04","0.1898","24.8","14.6","26.8","182","NAN","NAN","12.335","13.01","0.00","0.00","0.0","12.335","12.28","0.20","13.59"
"2026-08-13 06:25:00","308","12.39","98.0","12.09","866.17","1.62","2.29","1.11","75.6","14.4","0.0","0.0000","0.0","0.00","14.05","0.1898","27.3","14.3","24.4","182","NAN","NAN","12.326","13.77","0.00","0.00","0.0","12.326","12.25","0.30","13.14"
"2026-08-13 06:30:00","309","12.18","98.0","11.88","866.25","1.17","1.90","0.71","75.4","10.4","0.0","0.0000","0.0","0.00","14.06","0.1898","22.0","17.8","31.1","182","NAN","NAN","12.335","13.21","0.00","0.00","0.0","12.335","12.28","0.16","12.93"
"2026-08-13 06:35:00","310","12.60","98.0","12.30","866.01","1.37","2.10","0.71","75.2","9.2","0.0","0.0000","0.0","0.00","14.07","0.1898","23.4","15.9","27.1","182","NAN","NAN","12.357","13.48","0.00","0.00","0.0","12.357","12.27","0.33","13.41"
"2026-08-13 06:40:00","311","12.87","98.1","12.57","866.14","1.59","2.72","0.93","74.9","11.4","0.0","0.0000","0.0","0.00","14.08","0.1898","26.5","15.2","26.6","182","NAN","NAN","12.328","14.03","0.00","0.00","0.0","12.328","12.22","0.23","13.88"
"2026-08-13 06:45:00","312","12.83","98.1","12.53","866.10","1.25","1.74","0.68","74.7","14.2","0.0","0.0000","0.0","0.00","14.09","0.1898","24.0","14.7","30.4","182","NAN","NAN","12.356","13.96","0.00","0.00","0.0","12.356","12.21","0.28","14.24"
"2026-08-13 06:50:00","313","12.94","96.3","12.36","866.05","1.31","2.12","0.85","74.4","12.7","9.5","0.0029","0.1","0.00","14.10","0.1898","20.6","17.1","32.1","182","NAN","NAN","12.351","13.46","17.69","0.00","0.0","12.351","12.29","0.14","14.25"
"2026-08-13 06:55:00","314","13.58","98.1","13.28","866.05","1.73","2.68","0.88","74.2","9.3","22.2","0.0067","0.2","0.00","14.12","0.1898","21.3","13.8","31.4","182","NAN","NAN","12.342","14.91","17.71","0.11","1.9","12.342","12.26","0.34","14.48"
"2026-08-13 07:00:00","315","13.49","95.8","12.83","866.17","1.22","1.87","0.66","74.0","9.9","37.6","0.0113","0.4","0.00","14.14","0.1898","21.8","17.8","36.2","182","NAN","NAN","12.344","14.47","17.91","0.14","2.5","12.344","12.20","0.22","14.77"
"2026-08-13 07:05:00","316","13.49","94.1","12.56","866.07","1.29","2.10","0.65","73.7","17.1","52.1","0.0156","0.5","0.00","14.16","0.1898","15.4","17.5","41.5","182","NAN","NAN","12.361","14.33","17.38","0.12","2.1","12.361","12.29","0.30","14.95"
"2026-08-13 07:10:00","317","13.65","91.3","12.25","866.11","1.80","2.93","1.22","73.5","6.8","64.5","0.0194","0.6","0.00","14.18","0.1898","24.4","14.6","29.6","182","NAN","NAN","13.573","14.25","17.65","0.30","5.3","13.573","13.49","0.20","14.91"
"2026-08-13 07:15:00","318","13.84","96.3","13.26","866.23","1.73","2.39","1.24","73.2","16.1","82.4","0.0247","0.8","0.00","14.20","0.1898","21.6","13.8","31.3","182","NAN","NAN","13.579","14.80","17.44","0.34","5.9","13.579","13.50","0.21","15.43"
"2026-08-13 07:20:00","319","14.16","92.1","12.88","866.24","1.44","2.38","0.79","73.0","10.2","98.7","0.0296","1.0","0.00","14.22","0.1898","22.3","17.7","31.7","182","NAN","NAN","13.602","14.88","17.65","0.57","10.1","13.602","13.51","0.26","15.72"
"2026-08-13 07:25:00","320","14.68","87.3","12.60","866.26","1.67","2.78","1.22","72.7","12.3","110.6","0.0332","1.1","0.00","14.25","0.1897","18.8","16.2","37.0","182","NAN","NAN","13.620","15.32","17.99","0.39","7.0","13.620","13.51","0.21","15.92"
"2026-08-13 07:30:00","321","14.37","90.5","12.84","866.16","1.61","2.32","1.15","72.5","9.4","128.0","0.0384","1.3","0.00","14.27","0.1897","22.2","13.2","31.7","182","NAN","NAN","13.651","15.25","17.64","0.53","9.3","13.651","13.53","0.24","15.74"
"2026-08-13 07:35:00","322","15.01","88.8","13.18","866.18","1.03","1.43","0.60","72.3","16.2","142.0","0.0426","1.5","0.00","14.30","0.1897","20.8","16.0","32.9","182","NAN","NAN","13.659","15.54","18.25","0.60","10.9","13.659","13.58","0.22","16.41"
"2026-08-13 07:40:00","323","14.76","88.4","12.87","866.16","1.29","2.11","0.72","72.0","9.6","167.8","0.0504","1.8","0.00","14.33","0.1896","18.8","18.0","40.4","182","NAN","NAN","13.670","15.07","18.19","0.81","14.7","13.670","13.57","0.13","15.56"
"2026-08-13 07:45:00","324","15.39","87.0","13.24","866.15","1.56","2.50","0.94","71.8","10.0","183.8","0.0551","1.9","0.00","14.36","0.1896","23.6","14.4","29.5","182","NAN","NAN","13.690","16.22","18.03","0.77","13.9","13.690","13.55","0.33","16.14"
"2026-08-13 07:50:00","325","15.60","84.7","13.04","866.13","0.95","1.60","0.70","71.5","16.7","194.2","0.0583","2.0","0.00","14.39","0.1896","22.3","18.4","35.7","182","NAN","NAN","13.731","16.76","18.34","0.89","16.3","13.731","13.60","0.28","16.38"
"2026-08-13 07:55:00","326","15.49","81.1","12.26","866.14","1.09","1.52","0.57","71.2","8.0","208.0","0.0624","2.2","0.00","14.42","0.1895","20.4","18.4","37.2","182","NAN","NAN","13.740","16.13","18.36","0.94","17.3","13.740","13.67","0.14","16.69"
"2026-08-13 08:00:00","327","15.95","79.1","12.34","866.02","1.30","2.06","0.60","71.0","12.9","234.1","0.0702","2.5","0.00","14.46","0.1895","20.7","15.3","35.9","182","NAN","NAN","13.767","16.56","18.12","1.09","19.7","13.767","13.68","0.22","17.03"
"2026-08-13 08:05:00","328","15.94","84.9","13.41","866.19","1.28","2.18","0.74","70.7","14.7","244.4","0.0733","2.6","0.00","14.49","0.1894","22.1","16.3","35.3","182","NAN","NAN","13.763","16.99","18.38","1.29","23.7","13.763","13.69","0.28","17.28"
"2026-08-13 08:10:00","329","16.14","81.4","12.96","866.02","0.97","1.58","0.58","70.5","6.3","249.7","0.0749","2.7","0.00","14.53","0.1894","20.7","14.3","32.0","182","NAN","NAN","13.793","16.83","18.71","1.10","20.6","13.793","13.72","0.26","16.92"
"2026-08-13 08:15:00","330","16.08","78.0","12.25","865.89","1.60","2.42","0.74","70.2","14.8","278.4","0.0835","3.0","0.00","14.57","0.1893","22.9","14.2","33.9","182","NAN","NAN","13.794","17.25","18.68","1.32","24.7","13.794","13.74","0.29","16.90"
"2026-08-13 08:20:00","331","16.57","79.8","13.06","866.02","1.66","2.62","0.97","70.0","17.9","284.8","0.0854","3.0","0.00","14.61","0.1893","26.8","15.1","26.6","182","NAN","NAN","13.833","17.22","18.36","1.48","27.2","13.833","13.76","0.25","18.01"
"2026-08-13 08:25:00","332","17.07","74.3","12.48","865.82","1.15","1.89","0.84","69.7","14.4","315.6","0.0947","3.4","0.00","14.65","0.1892","22.7","13.7","30.6","182","NAN","NAN","13.860","23.21","18.51","1.53","28.3","13.860","13.73","0.31","22.25"
"2026-08-13 08:30:00","333","17.17","75.2","12.76","865.79","1.42","2.06","0.77","69.4","6.2","333.1","0.0999","3.6","0.00","14.69","0.1891","21.7","17.9","35.3","182","NAN","NAN","13.865","23.93","18.29","1.59","29.1","13.865","13.75","0.17","22.40"
"2026-08-13 08:35:00","334","17.33","72.4","12.32","865.81","1.68","2.88","0.98","69.2","11.9","338.9","0.1017","3.7","0.00","14.73","0.1891","24.9","12.7","27.2","182","NAN","NAN","13.893","23.79","18.53","1.78","33.0","13.893","13.78","0.12","22.37"
"2026-08-13 08:40:00","335","17.12","78.9","13.43","865.80","1.42","2.04","0.92","68.9","8.2","349.9","0.1050","3.8","0.00","14.78","0.1890","24.6","13.9","24.7","182","NAN","NAN","13.912","24.13","18.41","1.62","29.8","13.912","13.77","0.12","23.07"
"2026-08-13 08:45:00","336","17.37","73.1","12.50","865.82","1.04","1.76","0.64","68.7","14.1","380.2","0.1141","4.1","0.00","14.82","0.1889","26.0","14.5","24.9","182","NAN","NAN","13.927","23.47","18.83","1.83","34.5","13.927","13.81","0.32","22.45"
"2026-08-13 08:50:00","337","18.06","73.9","13.33","865.93","0.94","1.37","0.69","68.4","8.5","376.5","0.1129","4.1","0.00","14.87","0.1888","18.3","17.8","41.5","182","NAN","NAN","13.910","25.01","19.09","1.79","34.2","13.910","13.78","0.34","23.48"
"2026-08-13 08:55:00","338","17.77","70.6","12.35","865.74","1.58","2.33","0.93","68.1","7.6","390.8","0.1172","4.3","0.00","14.92","0.1888","22.5","14.0","32.2","182","NAN","NAN","13.944","23.69","18.84","1.98","37.3","13.944","13.89","0.13","23.35"
"2026-08-13 09:00:00","339","18.43","72.2","13.33","865.62","1.13","1.79","0.75","67.9","16.4","420.0","0.1260","4.6","0.00","14.97","0.1887","22.9","13.9","30.8","182","NAN","NAN","13.966","25.23","18.59","1.90","35.3","13.966","13.83","0.19","23.72"
"2026-08-13 09:05:00","340","18.56","70.4","13.08","865.76","1.44","2.52","0.97","67.6","15.6","417.5","0.1252","4.6","0.00","15.02","0.1886","19.9","17.0","38.0","182","NAN","NAN","13.968","24.98","19.23","2.16","41.5","13.968","13.88","0.26","23.80"
"2026-08-13 09:10:00","341","18.90","66.5","12.53","865.58","1.51","2.59","1.04","67.3","10.4","434.5","0.1304","4.8","0.00","15.07","0.1885","23.8","13.1","31.2","182","NAN","NAN","13.990","25.17","18.92","2.19","41.4","13.990","13.93","0.21","24.25"
"2026-08-13 09:15:00","342","18.72","67.6","12.61","865.47","1.08","1.52","0.51","67.1","8.1","456.2","0.1369","5.0","0.00","15.12","0.1884","20.9","17.3","37.9","182","NAN","NAN","14.000","25.02","18.78","2.19","41.1","14.000","13.90","0.18","24.47"
"2026-08-13 09:20:00","343","18.77","68.8","12.91","865.69","1.17","1.76","0.69","66.8","9.5","467.6","0.1403","5.1","0.00","15.17","0.1883","26.8","13.7","24.9","182","NAN","NAN","14.032","25.63","19.26","2.16","41.6","14.032","13.98","0.27","24.09"
"2026-08-13 09:25:00","344","19.41","67.5","13.23","865.50","1.48","2.30","0.70","66.5","13.0","471.3","0.1414","5.2","0.00","15.23","0.1882","17.4","17.9","38.8","182","NAN","NAN","14.031","25.51","18.81","2.40","45.1","14.031","13.89","0.24","24.90"
"2026-08-13 09:30:00","345","19.73","65.6","13.11","865.35","1.84","2.81","0.90","66.3","16.2","500.5","0.1502","5.5","0.00","15.28","0.1881","21.2","13.1","31.2","182","NAN","NAN","14.053","26.18","19.31","2.28","44.0","14.053","13.96","0.33","25.20"
"2026-08-13 09:35:00","346","19.59","62.6","12.26","865.36","1.84","2.86","1.21","66.0","16.5","516.0","0.1548","5.7","0.00","15.34","0.1880","21.5","13.0","30.7","182","NAN","NAN","14.079","26.52","18.93","2.55","48.3","14.079","13.93","0.17","25.37"
"2026-08-13 09:40:00","347","19.65","66.8","13.31","865.48","1.63","2.44","1.05","65.7","6.2","503.3","0.1510","5.5","0.00","15.39","0.1879","27.2","13.3","25.8","182","NAN","NAN","14.074","26.35","18.78","2.49","46.8","14.074","13.97","0.30","25.09"
"2026-08-13 09:45:00","348","19.96","66.0","13.43","865.40","2.22","3.37","1.05","65.4","7.1","526.4","0.1579","5.8","0.00","15.45","0.1878","24.1","16.4","28.5","182","NAN","NAN","14.101","26.65","18.92","2.60","49.2","14.101","14.02","0.31","25.04"
"2026-08-13 09:50:00","349","20.45","62.8","13.11","865.40","1.59","2.36","1.09","65.2","8.6","564.5","0.1693","6.3","0.00","15.51","0.1877","21.9","16.4","34.2","182","NAN","NAN","14.122","26.99","19.39","2.69","52.2","14.122","14.04","0.25","25.59"
"2026-08-13 09:55:00","350","20.63","62.7","13.27","865.35","1.76","2.61","0.84","64.9","17.6","558.2","0.1675","6.2","0.00","15.57","0.1876","25.8","12.7","27.3","182","NAN","NAN","14.146","26.84","19.09","2.75","52.5","14.146","14.03","0.14","26.00"
"2026-08-13 10:00:00","351","20.52","61.8","12.95","865.10","2.26","3.16","1.04","64.6","11.5","564.4","0.1693","6.3","0.00","15.63","0.1875","19.1","15.9","35.9","182","NAN","NAN","14.145","26.96","19.31","2.86","55.2","14.145","14.04","0.30","26.42"
"2026-08-13 10:05:00","352","20.55","60.2","12.58","865.04","2.07","3.33","1.26","64.3","17.7","573.4","0.1720","6.4","0.00","15.69","0.1874","22.5","14.5","29.5","182","NAN","NAN","14.133","26.77","19.31","2.82","54.5","14.133","14.02","0.21","25.81"
"2026-08-13 10:10:00","353","21.02","57.8","12.39","865.07","2.19","3.51","1.35","64.1","14.0","579.3","0.1738","6.4","0.00","15.75","0.1873","24.6","13.5","31.4","182","NAN","NAN","14.136","27.81","19.15","2.67","51.1","14.136","14.07","0.26","26.33"
"2026-08-13 10:15:00","354","21.11","61.5","13.42","865.11","2.21","3.52","1.56","63.8","8.9","576.5","0.1729","6.4","0.00","15.81","0.1871","24.3","15.5","31.8","182","NAN","NAN","14.139","27.85","19.10","2.78","53.1","14.139","14.08","0.34","26.74"
"2026-08-13 10:20:00","355","21.00","57.8","12.39","865.05","2.09","3.58","1.18","63.5","9.2","596.8","0.1791","6.6","0.00","15.88","0.1870","26.1","12.2","22.6","182","NAN","NAN","14.180","27.81","19.34","2.86","55.3","14.180","14.05","0.28","26.59"
"2026-08-13 10:25:00","356","21.56","56.5","12.55","865.07","2.64","3.84","1.79","63.2","14.8","575.4","0.1726","6.4","0.00","15.94","0.1869","28.2","12.0","23.9","182","NAN","NAN","14.150","27.95","19.07","2.68","51.1","14.150","14.05","0.27","27.20"
"2026-08-13 10:30:00","357","21.48","59.9","13.38","864.89","2.11","2.90","1.27","62.9","15.5","586.0","0.1758","6.5","0.00","16.00","0.1868","26.1","13.7","27.0","182","NAN","NAN","14.173","28.52","19.30","2.93","56.5","14.173","14.04","0.15","27.25"
